_CFKZZ,（ ）长方块中最大的形制，常用于肉的加工，如’烤酥方‘，,"烤方"
JYLYSL,将原料用少量油加热，至原料两面金黄而成熟（ ）的加工方法，它属于一种特殊的炸法。,"煎"
JYTHGT,将液体或固体状态的调味料黏附于原料的表面，（ ）使原料增味的调味方法。,"包裹调味法"
JYYPDW,椒盐鱼片的味型属于咸香味的（ ）。,"蘸碟味"
JZCDQZ,煎制菜的芡汁处理，原料可直接或（ ）后下锅煎制。,"拍粉托蛋液"
KLX_QB,颗粒小，且不均匀的（ ），糊化温度高，糊化黏度上升缓慢，最适合勾芡。,"玉米淀粉"
LCLPDD,冷菜冷盘的大多数以一种原料组成一盘菜肴的（ ），有时可根据需要铺以适当的点缀，增加美观。,"单一原料冷盘"
LCZPDB,冷菜装盘的步骤一般分为垫底，围边（ ）三个步骤。,"盖面"
LCZPSD,冷菜装盘时的用料做大料大用，小料小用（ ）保质保量。,"边角料充分利用"
LDYLJD,冷冻原料解冻后的品质主要在0-5℃最大冰晶生成带通过的时间，（ ）能使冷冻原料迅速通过最大冰晶生成带，并能较好地保存原料的营养和风味。,"微波解冻法"
LTWJ_Z,两头微尖，中间略宽，片体较薄，形似柳叶的（ ），从禽类胸肌或畜类里脊等肌肉上横或斜向取片，用于炒或氽。,"柳叶片"
LXDBCX,料形的边长相等，相对钝角，锐角构成，又叫“象眼块”的（ ）适用于不易变形的原料，用于冷盘的造型，如羊膏，酱牛肉等,"菱形块"
LXSYTW,料形是一头微圆而宽，一头微尖而窄的（ ），形似玉兰花，从鱼类轴上肌斜向取片，用于滑炒。如墨鱼片。,"玉兰片"
LXXSQD,连续迅速切断原料者称为（ ）的特殊刀工方法。,"跳切"
LXY_YL,料形以（ ）原料制成的菜有“松子牛肉粒”“滑炒鸽 松”等。,"粒"
LYPS_D,柳叶片是（ ）的专门刀法。,"正斜刀法"
LZLCDG,冷制冷菜的工艺流程中（ ）的操作程序是：选料→加工→调汁→泡制→装盘。,"泡"
LZLCZZ,冷制冷菜中制作（ ）程序为：将加工整理后的原料先用盐腌，再调拌其他调味品一起腌制。也可将盐与其他调料一起与原料拌和腌制。,"腌"
LZYSLC,两种以上凉菜原料组成一盘菜肴是（ ），除花色冷盘外，主要用于拼盘和花色冷盘的围碟。,"多种原料冷盘"
MDCYPT,磨刀采用平推翘拉的磨法是（ ），平推是对刀板的磨制，能保持平滑，翘磨是直接对刀刃磨制，但又损伤刀刃适用于一般切，削刀具的研磨。,"平翘结合"
MDDYJC,磨刀的用具常用的有（ ）种。,"3"
MDSDSY,磨刀时刀身与刀石保持一定的锐角角度，推拉研磨（ ），适用于磨制刀身后重的砍剁力，可以直接对刀刃进行研磨，而不磨及刀身。,"翘磨"
MLW_GW,麻辣味，怪味，家常味的味型是复合味的（ ）的味型。,"咸辣味"
MLW_GW,麻辣味，怪味，家常味属于（ ）复合味型。,"咸辣味"
PCGCZ_,配菜过程中，要根据原料的具体品种，菜肴成品的基本特征选择与其形态大小色彩（ ）的盛装器皿。,"相适宜"
PCJSSP,配菜就是使烹调原料适当（ ），成为一份可以直接食用或经过烹调后食用的菜品。,"配合"
PCXSPC,劈柴形似劈柴，由撬刀法产生又称撬刀块，是一种特殊块形仅用于（ ）的料形。,"烩冬笋"
PDFYYT,平刀法运用推片和拉片刀法的结合运用的，操作时持刀要平稳，下刀部位要准确推，拉动作要协调一致，对韧性较强，软烂易碎或块体较大的原料常用（ ）刀法。如面包等。,"锯片"
PFDGYL,拍粉的工艺流程的第三步是（ ）。，也是它的最后一道工序。,"拍粉"
PFGYLC,拍粉工艺流程的第二步是（ ）。,"拖蛋液"
PFGYLC,拍粉工艺流程的第一步是（ ）。,"前期加工"
PFTDHD,拍粉托蛋糊的工艺流程是（ ）。,"腌渍-拍粉-粘蛋液"
PSJQHD,排是将切好的原料平排式叠排（ ）置于盘中的一种拼盘手法。,"成形"
PTCDWJ,普通菜的味精在（ ）的作用下，才能显示提鲜的魅力。,"咸味"
PTWJZY,普通味精只有在（ ）的作用下，才能显示提鲜魅力。,"咸味"
PTZSCD,烹调中所称的温油锅’其油温大制为（ ）。,"60℃-100℃"
QFYYWL,切法运用腕力，刀刃离料（ ）向下割离原料。,"0.5~cm1"
QGLYP_,切割柳叶片、抹刀片的专门刀法是（ ），能相对扩大较薄原料的坡度面，增加与汤卤的接触面。,"正斜刀法"
QLEDZS,禽类鹅的宰杀方法是（ ）。,"宰杀-放血"
QLJDZS,禽类鸡的宰杀方法是（ ）。,"宰杀-放血"
QLYLLD,禽类原料冷冻的关键在于冷冻前必须使原料通体降温。冻制时将原料放人（ ）温度的冰库中速冻。10h后放入－18°C温度冰箱保存。,"（-32℃）"
QTDF_S,其它刀法（ ）是刀平刃向外，紧贴皮层，运用推力向前使皮与肉分开。,"铲"
QTDFD_,其它刀法的（ ）刀身垂直，紧压料面，作平面横向运行，适用于去除附着于原料表层的骨膜及去皮层毛根。,"刮"
QTDFD_,其它刀法的（ ）刀身横平猛击原料，使之松裂，适用于对纤维较长，较为紧密原料的加工，如姜块等。,"拍"
QTDFD_,其它刀法的（ ）是尖刀插入原料一側，旋转挖孔，用于去除虫眼和霉斑杂质。,"剜"
QTDFD_,其它刀法的（ ）是左手持料，右手持刀，悬空切去老根或皮。常用于清理加工。,"削"
QZDCZL,清蒸的操作流程是（ ）。,"选料-切配-腌渍预制-蒸制-出锅"
QZGLRS,茄汁咕噜肉是（ ）的味型。,"酸甜味-茄汁味"
QZWSYF,茄汁味属于复合味的（ ）味型。,"酸甜味"
RSPSDB,肉食品熟度标准（以牛肉为例）中心温度（ ）为全熟。,"80℃"
RSPSDB,肉食品熟度标准以牛肉为例（ ）的中心为玫瑰红色，向外带桃红色，渐变为暗灰色，外皮为棕褐 色，肉汁鲜红，中心温度60°C。,"半熟"
RSPSDB,肉食品熟度标准以牛肉为例（ ）中心为浅粉红色，外皮及边缘为棕褐色，肉汁为浅桃红色，中心温度为70°C。,"中熟"
RSPSDD,肉食品熟度的标准（以牛肉为标准），（ ）中心为浅灰褐色，外皮色暗，中心温度80°C。,"全熟"
RTBXDY,人体必须的营养物质就是（ ），人体每天都需要摄入一定量，摄入量过少影响人体的正常生长发育吗，摄入过多，易引起高血压等疾病。,"盐"
SCCJGS,蔬菜初加工时，要尽量利用可食用部分，如芹菜，因为芹菜叶的营养成份远远（ ）芹菜的茎。,"高于"
SCCJGS,蔬菜初加工时，要尽量利用可食用部分，如莴笋叶的营养成分（ ）莴笋茎。,"远远高于"
SDDQSD,丝的叠切式大多使用无骨韧性（ ）的原料居多。,"脆"
SDRCSF,水导热成熟法的（ ）的烹调方法有：炖、焖、煨。,"长时间加热"
SDRCSF,水导热成熟法的（ ）适宜的烹调方法有焅、扒、烧、煮、烩。,"中时间加热"
SJJFDR,食碱碱发的容液农度为（ ）。,"0.05"
SSWNBD,使食物内部的水分气化，加快干燥或食物膨化，因此（ ）在对食物的内部解冻，在加热，炖汤等方面有着巨大的优试。,"微波炉"
SW_SYS,所为（ ）是以时鲜疏果为原料，投入经调制好的卤汁中浸泡成菜的方法。,"泡"
SW_SZJ,所谓（ ）是指将原料的温度提高到冰结晶最大生成带的温度范围即中止解冻，此后在加工过程中再使原料达到完全解冻。,"半解冻状态"
SWCZ_Y,食物处在（ ）以上或4度以下时， 细菌的活动将被抑制，。,"33-71℃"
SWCZ_Y,食物处在（ ）以上或4°以下，细菌活动将会被抑制。,"71°-82°"
SXCDXJ,是新陈代谢加速的信号的（ ）由有机酸产生食之可增强肝脏功能，对防治某些肝脏疾病有益处，但食之过多会引起消化功能紊乱。,"酸味"
SY_FFQ,使用（ ）方法取内脏后的禽类用途广泛，是最常用的开膛方法。,"腹开"
SYKYZJ,食盐可以增加馅心茸丸的（ ）。,"拉力"
SYPDFJ,使用平刀法将原料保持在刀刃的一个固定位置，平行片进，不向左右移动的（ ），对易碎的软嫰原料采用平刀法。如豆腐，鸭血等。,"平片"
SYYQP_,适用于前批，后剁，中间切的刀是（ ），它刀柄短，惯力大，一刀多能，使用方便，省力，具有良好的性能。,"大方刀"
SYYZJQ,适宜于中间切的刀是（ ）。,"方头刀"
SYYZTS,属于一种特殊的炸法，是将原料用少量油加热，（ ）至原料两面金黄而成熟的加工方法。,"煎"
SZJYLF,是指将原料放入容器中，加用酒和调料制成的调味腌渍，使活体原料（ ）熟成菜的冷菜技法。,"醉"
TCW_SZ,糖醋味、山楂味、橙汁味、茄汁味、葡萄味属于（ ）的复合味。,"酸甜味"
TGDYLD,通过对原料的切配成形，可使菜品中的原料形态得到确定，使原料的大小形状，比例达到（ ）。,"协调一致"
TGYLZJ,通过原料之间的颜色搭配，可使其固有色相互协调，并产生（ ）的关系。,"和谐"
TLYQTF,调料与其他辅助原料加热的（ ），利用产生的烟味使原料上色并入味。,"烟熏调味法"
TP_FF_,调配（ ）方法：炒锅上火、放油烧热、倒入甜面酱，煸炒，加入汤、糖、味精，用小火略加熬制。待卤汁稍浓时离火，淋入麻油拌匀即可。,"咸鲜味—甜面酱味"
TPFF_C,调配方法：炒锅放油烧热→姜葱蒜煸香→加水，糖，盐熬制→加醋→用湿淀粉勾芡→淋入热油搅拌均匀。是（ ）味型。,"糖醋味"
TSWCYZ,甜酸味菜肴中（ ）起底味的作用，目的是保证菜品有一个基本的口味。,"盐"
WGGDRZ,我国规定肉制品中的亚硝盐的残留量不得超过（ ）%。,"0.0003"
WGNFDQ,我国南方地区使用十分普遍，特别的运用酱油作为咸味剂的菜品，经常以（ ）的形式出现，如酱爆，红烧，卤酱等。,"咸甜味"
WLJSJD,为了加速解冻过程，（ ）是将原料放在20°至25°的室内或放入温水中解冻。,"加温解冻法"
WQJDDY,完全解冻的原料应立即加工，烹饪，因为它在（ ）左右温度条件下，氧气酶和微生物的作用非常迅速，很快使肉色变深，并产生异味。,"30℃"
WXDHJY,味型的花椒盐味、胡椒盐、韭菜酱味、孜然盐味属于（ ）的复合味。,"咸香味"
WXKJXS,瓦形块即形似中国式小瓦的块形，由正斜刀法产生宽度两端形成弓形弧度，长不超过（ ）常用于熘瓦块鱼的原料加工。,"5-6cm"
XDFZRN,斜刀法在软嫰而略具韧性的原料用（ ）。如鸭脯，腰片，鱼肉等原料的加工。,"正斜刀法"
XDHDSC,洗涤后的蔬菜用（ ）发生装置制作的水漂泡10分钟左右，可使90%以上的残存化肥，农药，生物等化学物质脱离蔬菜，使蔬菜安全。,"臭氧"
XDY_JG,小丁由（ ）加工而成，又称黄豆丁常用于炒或制作馅心，如“青瓜鱼丁”“五丁虾仁”。,"细条"
XHYLZS,鲜活原料宰杀后应注意合理存放，避免降低肉质或变质，影响口味或食用。通常情况下0°—6°环境下冷藏可保存（ ）。,"48小时"
XHYLZS,鲜活原料宰杀后，应注意合理存放，避免减低肉质或变质，影响口味或食用。通常情况下，-18·-15℃环境下冷藏可保存（ ）。,"30天"
XHYLZS,鲜活原料宰杀后，应注意合理存放，避免减低肉质或变质，影响口味或食用。通常情况下，0~6℃环境下冷藏可保存（ ）。,"48小时"
XLNRFH,下列内容符合干贝涨发的选项 是（ ）。,"蒸制"
XLWXZB,下列味型最不宜于制作冻类菜肴的是（ ）。,"家常味"
XLXXZS,下列选项中属于动物性水产品的初加工方法是（ ）。,"去鳃，去内脏"
XLXXZS,下列选项中属于禽类原料在摘内脏时最常用的剖口方法是（ ）。,"腹开"
XLXXZS,下列选项中属于蒸的火候种类的是微火沸水（ ）。,"生料蒸"
XLYL_Z,下列原料（ ）焯水时最好采用冷水预热法处理。,"猪肚"
XLYLZS,下列原料焯水时最好采用冷水锅法的是（ ）。,"猪心脏"
XL_CBS,选料—初步熟处理—抹糖浆—晾干—炸制—装盘这种工艺流程属于（ ）的烹调方法。,"炸—脆炸"
XRFT_D,形如斧头，但比斧头宽薄的（ ）重约1000-2000g不等，专用于砍剁大骨。,"斧头刀"
XSPCD_,形式劈柴的（ ），由撬力法产生，又称撬刀块，是一种特殊块形，仅用于“烩冬笋”的料形，规格为4.5cm宽，厚为1.5cm。,"劈柴块"
XXLZD_,香辛料中的（ ）对鱼肉的腥味有很好的去除效果。,"姜葱蒜"
XY_CY_,细约0.3cmX0.3cm，长约4.5-5.5cm的（ ），因细如绒线，故又称之为“绒线丝”。用于炒、烩、氽等。,"粗丝"
XY_CY_,细约0.15cmx0.15cm，长约4.5cm-5.5cm，因细如火柴梗，故又称之为“火柴梗子丝”，的（ ）适用于炒，拌，汆等。,"中细丝"
XY_YX_,细约0，1cm×0，1cm以下，长约4.5-5.5cm（ ），因细如麻丝，可穿过针眼，故又称为“麻线丝”。,"中细丝"
Y_YLSJ,由（ ）原料上截下的立方体料形称为粒或末。,"细状"
Y_ZZDC,用（ ）制作的菜品色泽金黄，质感酥脆。,"全蛋糊"
YBCYDY,一般采用多余的原料，边角余料，不成形原料用来凉菜（ ）。,"铺底"
YBDZCM,一般都做成密封的装置，便于波的反射的（ ），而使食物能吸收更多的电磁波，加热十分方便。,"远红外线烤炉"
YBSYYZ,一般适用于整只制作菜品的家禽的（ ），如清炖鸡、花椒鸭等。上席后既看不见刀口，又使家禽显得丰满，较为美观。,"背开"
YBXYYZ,一般选用优质白酒或绍兴黄酒是冷菜制作（ ）用料的选择。,"醉"
YBYCD_,一般也称颠，因其操作动作较小，菜肴翻动的幅度也较小的（ ），故称为小翻。,"小翻"
YCXXD_,又称心形刀，刀前尖薄，刀后略厚，重约1000g，（ ）专用于剔骨，剁肉和剖 鱼。,"尖头刀"
YDBDYL,用刀背对原料肉面排敲，使之肉质松嫩的（ ）刀法。适用于对猪排，牛排，鸡排的加工。,"刀背排"
YDBMJ_,用刀背猛击，使粗壮之长骨折断，是其它刀法的（ ）的运用。,"敲"
YDDZLG,一定的质量构成菜肴的规格，而不同的（ ）决定了菜肴的销售价格和食用价值。,"规格"
YFDQLH,鸭分档取料后（ ）适用于加工成丁，条丝，适用于炒，熘，炸，煎等。,"鸭脯"
YFDQLH,鸭分档取料后，（ ）宜于整用或加工成丁、剁块，适用于炒炸等。,"鸭腿"
YFSJSH,油发是将适合油发的含胶原蛋白充足的原料，在油中加热使胶原蛋白（ ）膨胀的方法。,"变性"
YGZ_YJ,有规则，有节律地连续剁的方法，是制作肉茸，菜泥的专门刀法。由于这种砧剁是由左至右再由右至左的运刀，故叫（ ）法。,"排剁"
YJDDP_,又叫抖刀片，刀刃进料后做上下波浪形移动的 （ ），在烹饪过程中此刀法应用较少 ，用于菊花变蛋的批片，一些固体性较好的原料亦可采用此法。如豆腐干，黄白蛋糕等。,"波浪片"
YL_DPB,原料（ ）的配比是面粉25%，淀粉25%，鸡蛋15%，水35%。,"全蛋糊"
YL_DPB,原料（ ）的配比是盐0.8%，味精0.6%，淀粉50%，水30%，蛋清18.6%。,"水粉浆"
YLBCZD,原料保持在刀刃的一个固定位置，平行批进，不向左右移动，对易碎的软嫰原料采用平批刀法，如豆腐干。鸭血等是（ ）。,"平批"
YLCLH_,原料处理后，投入热油锅中快速加热成熟的（ ），再与配料合炒并勾芡的加工方法。,"爆炒"
YLFRLS,原料放入冷水中，通过加热升温使水沸腾的（ ）使原料最终成熟。,"冷水预热法"
YLFRSZ,原料放入水中，用大火加热至水沸，改中火加热使原料成熟（ ）的加工方法。,"煮"
YLJCZX,原料卷成柱形的（ ），再切成丝，适用于对薄而韧的大张原料加工，如百叶，蛋皮等。,"卷切式"
YLPB_J,原料配比，鸡蛋35%，淀粉55%，水8.5%，盐1%，味精0.5%是制作（ ）的原料。,"全蛋浆"
YLPB_D,原料配比；淀粉55%，水45%是（ ）的调制。,"水粉糊"
YLPB_J,原料配比；鸡蛋35%，淀粉55%，水8.5%，盐1%，味精0.5%是（ ）的调制。,"全蛋浆"
YLPB_Y,原料配比；盐0.8%，味精0.6%，淀粉50%，水30%，蛋清18.6%是（ ）的调制。,"水粉浆"
YLRFSZ,原料入沸水中快速加热，使原料短时间成熟的（ ），这种加热的主要目的是护色或保持嫩度。,"沸水预熟法"
YLSCHD,叶类蔬菜和豆类蔬菜的初加工主要是（ ）和洗涤，其中摘剔主要是摘除不能食用的部分。,"去皮，整理"
YLXYZZ,原料需要整只鸡形状的采用（ ）的刀法。,"颈开"
YSXDCF,盐水洗涤此方法适用于对（ ）季节之间上市的新鲜蔬菜的洗涤。,"夏秋季节"
YSXD_C,盐水洗涤，此方法适用于对（ ）之间上市的新鲜蔬菜的洗涤。因此季节的有虫卵或腻虫，水洗难以清除。,"夏秋季节"
YTRSY_,樱桃肉属于（ ）味型。,"咸甜味咸带甜"
YTWWZ_,以甜味为主，香味为辅的一 种（ ）型的复合味型，通常称此为"甜菜” 或“蜜汁”。,"甜香味"
YXTJGE,由细条加工而成，又称黄豆丁的成形料为（ ），常用于炒或制作馅心。如“五丁虾仁”。,"小丁"
YYCZXX,运用垂直向下切断原料不移动切料位置者称为（ ）的刀法。,"直切"
YYDKBR,运用刀口部刃口，在原料肉面进行排剁的（ ），使之骨折、筋断的刀法。,"刀口排"
YYLLQL,运用拉力切料，刀刃垂直向下、向后运行的（ ），适用于韧性原料的加工，如一般肉。拉切要求一拉到底，刀刀分清，用力稍大。,"拉切"
YYLLQL,运用拉力切料，刀刃垂直向下，向后运行，适用于韧性原料的加工刀法是（ ）刀法。,"拉切"
YYPDDF,运用排剁刀法的（ ）但又不将原料断离，使之骨折，筋断，肉质疏松的方法。,"排法"
YYTLQL,运用推力切料的（ ）法，刀刃垂直向下，向前运行，适用于薄嫰易碎的原料。如豆腐，猪肝等。,"直切"
YYTLQL,运用推力切料的方法，刀刃垂直向下，向前运行的（ ）法，适用于薄嫩易碎的原料，如鱼肉等。,"推切"
YYTLQL,运用推力切料的方法，刀刃垂直向下，向前运行适用于薄嫰易碎的原料用（ ）的切法。,"推切"
YYXDFJ,运用斜刀法加工的（ ）多用于葱，蒜等管状蔬菜。,"斜刀段"
YYXLDL,运用向里的拉力的（ ） ，片料时，原料从刀腰进刀刃向尖部移动断离，对韧性稍强的动物性原料采用此刀法。如鸭脯，猪腰，瘦肉等。,"拉片"
YYXLDL,运用向里的拉力，批料时原料从刀腰进刀刃向刀尖部移动断离，对对韧性稍强的动物性原料采用此法，如鸭脯，猪肝，瘦肉等（ ）的刀法。,"拉批"
YYXWDL,运用向外的拉力，片料时，刀刃由刀尖部进入原料，运用向往的推力，由刀尖向刀腰部移动平推断离，对脆嫩性的原料常用（ ）的方法。如生姜等。,"推片"
YYXWDT,运用向外的推力，批料时刀刃由刀尖部进入原料运用向外的推力，由刀尖向刀腰部移动平推断高对脆嫰性蔬菜常用（ ）此法，如生姜，白菜等的刀法。,"推批"
YYZDFJ,运用直刀法加工的（ ），多用于柱形蔬菜和鱼，在多数情况下，直刀段可再加工成更小料形，其刀法与块相同。,"直刀段"
YY_FSG,银鱼，粉丝干菜笋等都是（ ）即仅经过一次性热水涨发过程就可以达到要求的发料方法。,"一次性发料"
YY_XGH,银鱼，香菇和粉丝等是属于（ ）。,"泡发"
YZBJCY,一种比较常用的传统冷菜装盘形式的（ ），冷菜入盘中，形成中间高，两头低，好像一座古式的拱形石桥，故得名。,"桥梁式冷菜"
ZDFDQY,直刀法的切运用推切，拉切的结合刀法的（ ）适用于酥烂易碎原料。如羊膏，脊肉等。,"锯切"
ZGZCJ_,中国最常见，最基本的味型之一的（ ），适用区域和选料都十分广泛，不受季节，地区，年龄的限制。,"咸鲜味"
ZJSYDY,在江苏一带有“小糖醋”之称的（ ），在调配时糖，醋的用量比例比酸甜味轻一些，盐的用量则要重一些。,"荔枝味"
ZLCPYB,这类菜品一般采用混合料一次定味，将所有调料与淀粉一起调和均匀，在（ ）类菜的原料划油后，倒人锅中与原料一起翻拌，使卤汁包裹在原料表面。,"爆，炒"
ZLXJHY,主料先进行油炸或焯水，滑油等预热加工，再放入锅中并加入葱姜蒜等香辛原料，最后加入酱油，盐，汤烧制入味是（ ）的调配方法，用于爆炒类菜品的调味。,"咸鲜味-红汁类"
ZLZZCY,主料指在菜肴中作为主要成分，占主导地位，起突出作用的原料。它所占的比重较大通常为（ ）以上，其作用是能反映该菜的主要营养与主体风味指标。,"0.6"
ZPRZDY,在烹饪中的应用相当广泛，即可作为炒菜，滑溜菜，炸留菜以及冷菜卤汁的（ ）味型，也可作煎炸菜，烧烤菜的佐味调料。,"甜酸味"
ZRHMJD,自然缓慢解冻法是将原料放在（ ）的条件下缓慢解冻。,"0—3℃"
ZSZZYC,左手抓住一侧鸭腿，反关节用力，用刀在腰窝处划断筋膜，在用刀在坐骨处割划筋膜，用力即可撕下鸭腿。是鸭分割取料的（ ）。,"第一步"
ZTPSYH,在调配时要合理掌握（ ）与味精的配比关系，一般谷氨 酸钠的添加量与它的添加量成反比。,"盐"
ZXDFJZ,正斜刀法即正斜批，右側角度为锐角（ ）度。,"40~50"
ZYSYYD,主要适用于动物性原料中的鲜活水产品冷菜冷制的方法用（ ）。这种炝制法称之为“活炝”。,"酒及香辛料炝制"
ZYYTG_,专用于剔骨，剁肉和剖鱼的刀是（ ）。,"尖头刀"
ZYYYZZ,主要用于整只烤制家禽的开膛，用（ ）的方法取内脏，家禽在烤制时就不会漏油水，腹部不收缩变形，成品完整。,"肋开"
ZYZPLD,在有主铺料的情况下，主料与配料的（ ）比，最好不要低于2；1.,"重量"
ZZ_CXW,制作（ ）程序为：选料→切配→喂味→拍粉或挂糊→炸制→炒制调味→装盘。,"焦炒海鳗丝"
ZZ_ZSZ,制作（ ）中酥炸的操作程序是：选料→预熟处理→切配挂糊→炸制→装盘。,"琵琶大虾"
ZZCFDD,制作澄粉的淀粉是（ ）为原料。,"小麦淀粉"
ZZFDHX,在煮发的后续过程，当干料煮到一定程度时，需要改用小火，微火，或将锅端离火源，盖紧盖子使温度慢慢下降的（ ）过程，让原料从外到里全部发透。,"焖发"
_CPJ_D,“脆皮鸡”的烹调方法属于炸的（ ）的制作工艺。,"炸-脆炸"
_DPR_C,“东坡肉”菜肴是典型的（ ）的菜例。,"咸甜味"
_FZR_F,“粉蒸肉””粉蒸鸡“是属于（ ）制作而成的。,"生料粘撒法"
_SZNR_,“水煮牛肉”的烹调方法是采用了（ ）的方法制作。,"煮"
_XTLBT,“香甜萝卜条”属于（ ）的腌制法。,"糖腌法"
_YTR_S,“樱桃肉”属于（ ）味型。,"咸甜味-甜中带咸"
