_GSSYB,（）钢丝绳一般用于滑轮组和吊索（千斤绳）以及绑扎起吊重物等。,"6×61+1"
_SZDBQ,（ ）是指动臂起重设备的转动中心线至被吊物体中心线的水平距离。,"幅度"
_SZQDS,（ ）是指起吊设备额定载荷的质量。,"起重量"
_TDDDZ,（ ）塔吊的底座固定在轨道或地面上。,"固定式"
_TDYBS,（ ）塔吊一般适应多层民用建筑施工。,"轻型"
_YYMSX,（ ）用于麻绳需要迅速解开的场合。,"活接"
_YYZWD,（ ）用于重物吊装捆绑，结扣方便、牢固、安全。,"死结"
CXDDHL,CD1型电动葫芦的起升速度为（ ）m/min。,"8"
KXLDSQ,KH100型履带式起重机的最大起重量为（ ）t。,"30"
KXLDSQ,KH100型履带式起重机主臂全长（ ）m。,"37"
QXLTSQ,QLD16型轮胎式起重机不使用支腿起吊时，其起重量最大为（ ）t。,"6.7"
QXLTSQ,QLD16型轮胎式起重机使用支腿起吊时，其起重量最大为（ ）t。,"16"
BGCYHZ,不管采用何种方法运输设备，正确选择（ ）很重要，它关系到运输的效率、成本和安全性。,"运输线路"
BGDWW_,标高单位为（ ）。,"m"
BJSSSB,扳就是使设备、构件在（ ）的作用下，绕底部或铰链旋转竖起直至就位。,"外力"
BJSYQG,拨就是用撬棍撬起需要变动角度或移动的重物，然后使撬棍尾部作（ ）摆动，使其绕支点移动，达到使物体移动和转动的目的。,"横向"
BYBYY_,拨一般用于（ ）的设备和构件的小角度扭转和短距离移动，操作比较简单。,"较轻"
BZSSY_,白棕绳是以（ ）为原料制成的。,"剑麻"
CCSWGS,拆除双桅杆时，滑轮组一般绑扎固定于第一根桅杆的（ ）高度处，桅杆底部加封绳，以防滑动。,"2/3"
CYECKB,采用二次捆绑翻转法，第一次捆绑后，先把柱子翻转（ ）°，再进行第二次捆绑吊装。,"90"
CYQS_D,采用撬时，当支点、力点和重力点的相对（ ）不同时，产生的效果也就不同。,"位置"
CYSRZW,采用双人字桅杆抬吊工艺，可起吊（ ）的设备，而且操作比较安全、稳当。,"重而高"
CYSSYH,采用双速运行的电动葫芦是（ ）型。,"MD"
CYXZFH,采用旋转法或扳倒法竖立设备时，都必须有严密的施工方案和有专人指挥，并必须严格使用好设备两侧的（ ），防止设备在竖立过程中发生歪斜和倾倒。,"控制绳"
DBBFST,动臂变幅式塔吊是通过改变吊臂的（ ）大小来变幅的。,"俯仰角度"
DDHLDD,电动葫芦的电动机出厂时轴向移动量已调到（ ）mm左右，在使用中，它将随着制动环的磨损而逐渐加大。,"1.5"
DDHLDJ,电动葫芦的卷筒位于设备的（ ）。,"中央"
DDJYDJ,电动卷扬的卷筒与选用的钢丝绳直径应当匹配，通常卷筒直径应为钢丝绳直径的（ ）倍。,"16~25"
DDJYJG,电动卷扬机固定基础法适合于（ ）使用的地方。,"长期"
DDJYJQ,电动卷扬机起吊时，卷筒上的钢丝绳余留圈数应不少于（ ）圈。,"3"
DDJYJY,电动卷扬机用完后，要切断电源，将控制器放到（ ）。,"零位"
DDQDS_,单点起吊时，绑扎点应该设在梁的（ ）位置。,"重心"
DDZQZJ,多动作起重机可以完成（ ）方面以上的运动。,"三个"
DFDZS_,兜法吊装时，一般两吊索之间的夹角以（ ）°左右为宜，设备也不宜太重或太长。,"60"
DGDKKD,吊钩的开口度比原尺寸增大（ ）%，应报废。,"15"
DGGPHS,当杠杆平衡时力与力臂的乘积等于重力与重力臂的乘积，这就是（ ）原理。,"杠杆"
DGYDHS,吊钩与吊环是起重作业中最常用的（ ）。,"吊具"
DHDWXS,吊环的外形是一个（ ）的圆环,"封闭"
DHYBY_,吊环一般与（ ）配合使用。,"卸扣"
DJHZXB,当进行直线搬运时，滚杠位置应（ ）于搬运方向。,"垂直"
DJJSWG,独脚金属桅杆常采用（ ）根揽风绳。,"5~8"
DJSTGQ,顶就是通过千斤顶顶杆（ ）的改变，使重物升起、下落或水平移动。,"行程"
DJWGDL,独脚桅杆的揽风绳布置时，若桅杆承受的载荷对称于桅杆轴线时，揽风绳应在（ ）范围内均匀布置。,"360°"
DMJKHT,地锚基坑回填时，每隔（ ）m夯实一次，并要高出基坑四周400mm以上。,"300"
DMLSYD,地锚拉绳与地面的水平夹角应在（ ）°左右，否则地锚将承受过大的竖向拉力，影响其使用效果。,"30"
DQSRHW,地球上任何物体都受到地球的引力作用，使物体内部各点均受到重力的作用，重力合力的作用点就是物体的（ ）。,"重心"
DSBFWY,当设备方位与安装要求方位相差较小，而要进行精确调整找正时，可使用（ ）转动设备进行找正。,"千斤顶"
DSBJCH,当设备进场后，放置方位与安装方位相差不大时，则可在设备上捆绑吊索，使起重滑轮组上的吊点偏移一定的（ ），然后吊起设备，即可使其转到所需的位置。,"角度"
DSDCJZ,吊索的插接最长用的是（ ）插接法。,"一进三"
DSLHLC,当手拉葫芦传动齿轮齿面磨损达原齿厚的（ ）%时，应报废更换。,"30"
DWMJSD,单位面积上的内力的大小叫做（ ）。,"应力"
DWZXYB,定位轴线一般用（ ）来表示，端部带一圆圈，圈内注有编号。,"点划线"
DXHLTC,导向滑轮通常用在起重桅杆的（ ）处。,"底脚"
DXYTTD,当需要调头的设备大而重时，可使用（ ）来调头。,"钢转盘"
DYBGZT,对于不规则体，其重心测定最常用的是（ ）。,"悬挂法"
DYCQGZ,对于长期工作的钢丝绳，至少每隔（ ）个月要涂刷一次保护油。,"四"
DYCXDW,对于长形吊物，当采用竖吊，设一个吊点时，其吊点位置应在距起吊端（ ）L处。,"0.3"
DYFXDW,对于方形吊物，吊装时则可采用（ ）吊点吊装。,"四角四个"
DYGDCC,对于高度尺寸较大的机床，吊点应设在其（ ）。,"上部"
DYYQJD,当液压千斤顶油路发生（ ）时，表现为起升不灵，或不能缓慢下降。,"阻碍"
DYYXRQ,对于圆形容器、管道等，在不影响其直径和外形尺寸变化的情况下，可用（ ）的方法，来改变其位置。,"自身滚动"
DYZLJD,对于质量较大的重物，由于绳索的（ ）有限，因此需要多根绳索才能承受拉力。,"许用拉力"
DZSBS_,吊装设备时，无论使用单钩或双钩，吊钩（ ）中心线都必须通过设备重心。,"垂直"
DZWBH_,吊装完毕后，要及时卸下卸扣，并将横销装好，严禁将横销乱扔，以防损坏横销的（ ）。,"螺纹"
DZWZLJ,当重物质量较轻，体积较小，且搬运路线又较短时，可采用（ ）抬运。,"两人"
DZZ_DY,吊装中，当用两台起重机吊装设备时，关键在于两台起重机的运作要（ ）。,"同步"
GBBWYM,个别部位有明显锈蚀，使用于次要场所，其钢丝绳可用程度为（ ）。,"0.5"
GCCYGS,国产常用钢丝绳其抗拉强度不包含（ ）。,"1750MPa"
GCTYDC,工程图样多采用（ ）。,"正投影"
GDMDW_,钢的密度为（ ）g/m3。,"7.85"
GJHCLD,构件或材料抵抗（ ）的能力叫刚度。,"变形"
GJHCLD,构件或材料抵抗破坏的能力叫（ ）。,"强度"
GJSJZW,滚就是将重物放在做好的木排上，下面铺设（ ）进行移动的一种搬运方法。,"滚杠"
GKXGHD,高空系挂或吊装设备的麻绳的安全系数为（ ）。,"8"
GLQPDC,各类气瓶的存放位置应距明火（ ）m以上，并严禁暴晒和野蛮运输。,"10"
GSSCZY,钢丝绳除主要受拉力外，还要受（ ）的作用。,"弯曲应力"
GSSDXY,钢丝绳的许用拉力计算，在滑轮或卷筒直径按允许要求设计时，可仅考虑（ ）。,"拉伸力"
GSSKJS,钢丝绳开卷时，应按正确方法进行，以防止钢丝绳在放绳过程中产生（ ），导致强度降低或损坏。,"扭结"
GSWGZW,管式桅杆在桅杆底部设置下吊耳，供系挂转向滑轮用为了扩大桅杆根部（ ）面积，在桅杆根部还制有一块钢底板。,"受压"
GXGSSD,钢芯钢丝绳的缺点是（ ）。,"太硬"
GZSDEJ,管轴式吊耳结构比拉板式吊耳复杂，但它可以避免使用（ ）卸扣。,"大型"
HDDMLY,活动地锚利用与地面的（ ）作锚碇使用。,"摩擦力"
HDMCLD,滑动摩檫力的方向与滑动的方向（ ）。,"相反"
HDMCXS,滑动摩擦系数是随着相对运动速度和单位面积上压力的变化而变化的，但在一定的单位面积压力范围内，相对运动速度不大时，可将其滑动摩擦系数看成一个（ ）。,"常数"
HJSRL_,滑就是人力、卷扬机或其他外力的作用下，使重物沿着（ ）方向移动到需要的位置。,"牵引"
HLZJYG,滑轮直径与钢丝绳直径之比一般不得小于（ ）。,"9"
HLZSPT,滑轮组双跑头牵引，能增加提升或下放高度近（ ）倍，并能提高起重量，减小牵引力。,"1"
HYDZFZ,滑移吊装法主要用在设备、构件外形（ ）的吊装作业中。,"尺寸大、质量大"
HZZFFC,滑这种方法常用于施工现场设备的（ ）。,"搬运"
JGSSCG,将钢丝绳穿过滑轮时，滑轮槽的直径应比绳的直径大（ ）mm。,"1~2.5"
JLGHLG,将两个或两个以上的力合成为一个力，称为力的（ ）。,"合成"
JSJDKJ,脚手架的扣件螺栓一般为A3钢，当其拧紧扭力矩达（ ）N·m时，不得发生损坏。,"65"
JSJDSS,脚手架搭设时，纵向水平杆应设置在立杆内侧，其长度不宜小于（ ）跨。,"3"
JSQGGS,揭上汽缸盖时，应先在上气缸盖对角导向销孔中安装四条垂直于气缸平面的保险导向杆，杆上涂以黄油，用上盖的顶丝将上汽缸盖均匀顶起（ ）mm后，再用行车将上汽缸盖稍微吊起。,"90"
KFSYYY,卡法适用于有（ ）的设备和构件。,"吊耳"
KWAZSG,看完安装施工图后，还应看与安装密切相关的（ ），如核实预留孔洞、预留钢板、吊点等是否与安装施工图相符。,"土建施工图"
LDSQZJ,履带式起重机的各机械部分采用（ ）操纵。,"液压"
LDSQZJ,履带式起重机的最大仰角若无资料可查时，不得超过（ ）°。,"78"
LDSQZJ,履带式起重机在起吊中作短距离行走时，所吊重物要在行车的正前方，并应系好溜绳，重物离地面不超过（ ）mm，缓慢行驶。,"100"
LFSKYG,缆风绳跨越公路时，距路面高度不得低于（ ）m。,"6"
LFSYJ_,缆风绳仰角β取小一些有利，一般不宜超过（ ）°。,"45"
LS_DZY,力是（ ）的作用。,"物体对物体"
LSJYDX,力是具有大小和方向的量，所以力是（ ）。,"矢量"
LTSQZJ,轮胎式起重机按起重量大小分类，起重量在（ ）t以下者为小型。,"12"
MDBZJS,某等边直角三角形，其直角边长为1m，则其斜边长为（ ）m。,"√2"
MLFTCW,某立方体长为1m，宽为2m，高为4m，其体积为（ ）m3。,"8"
MLFTSX,某立方体实心铸件高为1m，密度为7.2g/cm3，其质量为（ ）t。,"7.2"
MQTZJW,某球体直径为1m（π取3.14），其表面积为（ ）m2。,"3.14"
MSSQZZ,麻绳是起重作业中常用的一种绳索，一般用于（ ）以内重物的绑扎与吊装。,"500kg"
PTMSDX,普通麻绳的许用应力为（ ）MPa,"10"
PTSGSS,普通式钢丝绳是由（ ）等径的钢丝子绳与一根含油绳芯捻制而成的。,"6股"
QCQZJR,汽车起重机如遇（ ）级以上大风时应停止吊装作业，并应卸下载荷把吊臂放在托架上。,"六"
QCQZJZ,汽车起重机在重负荷工作时，吊臂的左右旋转角度都不能超过（ ）°。,"45"
QDCZS_,撬的操作是（ ）原理的具体应用。,"杠杆"
QDJSQS,起吊减速器上盖时，起吊钢丝绳穿入两吊环内挂在吊钩上，两绳间的夹角不宜过大，一般应在（ ）°以内，以防吊环受过大的水平力。,"90"
QDZBDT,起吊中不得突然改变升降速度（如急刹车等），以免产生（ ）载荷损坏钢丝绳。,"冲击"
QGYYJH,撬棍应有较好的（ ）。,"刚度和韧性"
QJDBDC,千斤顶不得超载操作，单台顶升时，其承载能力必须（ ）重物的全部质量，以免发生危险。,"大于"
QJDDSS,千斤顶顶升时，应随物件的上升，在其下面及时放入保险垫，脱空距离应保持在（ ）mm以内，以防止千斤顶倾斜或突然回油而造成事故。,"50"
QTCJGX,起头插接共需穿插（ ）次。,"6"
QYGSSJ,牵引钢丝绳进入滑轮的偏角α不能超过（ ）°。,"4"
QZJDZW,起重机吊重物时，一般应先进行试吊，试吊时间约（ ）min。,"10"
QZZYBX,起重作业必须有专人指挥，操作人员应严格按照指挥者的（ ），正确、及时地进行操作，以保证施工安全。,"信号"
QZZYZ_,起重作业中，每个固定端的绳夹数量不少于（ ）个。,"3"
RGGZHJ,如果工作环境较差时，应在离地面（ ）m以内的缆风绳上涂以润滑油脂，防止生锈腐蚀，影响使用。,"2"
RGSLHL,如果手拉葫芦的链环直径磨损已达（ ）%，则应更换链条。,"10"
RMTDBL,如某图的比例是1:80，即表示图上的尺寸是实物尺寸的（ ）。,"1/80"
SJJSGJ,三脚架三个脚腿之间距离应相等，每个脚腿与地面水平夹角不应小于（ ）°，并在脚腿底部外侧用木楔顶垫，以防止滑动。,"60"
SLHLDQ,手拉葫芦的起重高度一般不超过（ ）m。,"6"
SLHLZQ,手拉葫芦在倾斜或水平方向使用时，拉链方向应与链轮方向（ ），以防卡链或掉链。,"一致"
SPHZJS,水平回转就是将设备或构件在平面内回转一个所需的（ ），使其满足吊装的需要。,"角度"
SS_LSJ,手势：两手交叉不动；面向司机；哨音：一长音，所发出的信号是（ ）。,"工作完毕"
SS_MZX,手势：拇指向上，作上下运动；二目注视起重物；哨音：两短音，所发出的信号是（ ）。,"吊杆上升"
SS_SZW,手势：食指往下垂，作旋转运动；二目注视起重物；哨音：三短音，所发出的信号是（ ）。,"吊钩往下降"
SWLD_J,所谓力的（ ），就是指物体在两个或两个以上力的作用下，物体保持静止或不改变物体的等速运动状态，此时作用在该物体上的合力等于零。,"平衡"
SXZSTD,上旋转式塔吊的特点是（ ）不回转。,"塔身"
SYDHLS,使用动滑轮时，每根钢丝绳所受的力为重物质量的（ ）%。,"50"
SYYDSB,所有用电设备和照明灯具的金属外壳必须有可靠的（ ）保护。,"接零"
SZZWJS,设置在物件上传供系挂吊装索具用的部件称（ ）。,"吊耳"
TDDBGB,塔吊吊臂改变仰角时，必须（ ）运行，并不得同时做其他动作。,"空载"
TDZSYK,塔吊自身有可靠的（ ）装置。,"平衡"
TDZYS_,塔吊作业时，当风力达（ ）级以上时，应将吊钩落下勾住轨道，并在塔身结构架上拉4根钢丝绳固定在附近坚固的建筑物上。,"10"
TSZYYJ,提升作业应尽量采用（ ）施工，以提高工作效率。,"机械化"
WBZWTN,为保证物体能够安全正常地工作，对每一种材料必须规定它所能容许承受的最大应力，这个应力就叫（ ）。,"许用应力"
WBZXDQ,无标志线的千斤顶，其顶升高度不得超过螺杆的螺纹或活塞总高的（ ），以避免将套筒或活塞脱顶，损坏千斤顶而造成事故。,"3/4"
WTKSBP,物体开始被破坏时的应力叫做（ ）。,"强度极限"
WTSSTD,物体三视图的投影规律：主、俯视图（ ）对正。,"长"
XCYDXT,现场用电系统应采用TN-S保护系统，即（ ）制。,"三相五线"
XHWHDS,型号为HS10的手拉葫芦，其起重量为（ ）t。,"10"
XJBTYM,向基本投影面投影所得的视图称为（ ）。,"基本视图"
XJFCJC,小接法插接长度约为钢丝绳直径的（ ）倍。,"50"
XJFCJS,小接法插接时一般多采用（ ）插法。,"一进三"
XKLJDL,卸扣连接的两根绳索或吊环，不准分别套在卸扣的两个直段上，以免卸扣（ ）受力。,"横向"
XLSWGD,系缆式桅杆的起重臂可作（ ）°旋转。,"360"
XLSWGL,系缆式桅杆缆风绳的布置：当副桅杆大于主桅杆长度时，采用在（ ）°范围内等分布置。,"240"
YBGSSD,一般钢丝绳的可用程度判断：判断方法为新钢丝绳、使用过的钢丝绳各股钢丝位置未动，摩擦轻微，且无绳股突出现象；使用场所为重要场所；则其可用程度为（ ）。,"1"
YBJDQZ,一般机动起重机用的钢丝绳安全系数为（ ）。,"5.5"
YBSJDJ,一般绳夹的间距最小为钢丝绳直径的（ ）倍。,"6"
YDQDSB,已吊起的设备需停留时间较长时，必须将手拉葫芦的手拉链拴在起重链上，以防止时间过久而（ ）失灵。,"自锁"
YHSDSZ,运行速度是指起重设备（ ）运行的速度。,"大车"
YJBYDZ,由基本运动组成的起重机械称（ ）起重机械。,"单动作"
YJZYS_,夜间作业时，必须有充足的（ ）。,"照明"
YYJJDC,由于机件对称，（ ）的另一半外形视图只需表示外形，不能有内部虚线。,"半剖视图"
YYMDTQ,用圆木代替撬棍时，要仔细检查其（ ），防止在操作过程中突然断裂，造成事故。,"质量"
YYQJDB,液压千斤顶不宜在高温和低温的环境中进行顶升作业，以免（ ）受温度影响而导致千斤顶不能正常工作。,"液压油"
ZDBZ_Y,柱的绑扎，用吊索绑扎或用吊装轴销进行垂直起吊时，应采用支撑横吊梁将吊索撑开。支撑横梁的长度必须大于柱子的最大宽度，且支撑横吊梁到绑扎点的距离必须大于绑扎点到柱顶距离的（ ）倍。,"1.2"
ZDZZYZ,在吊装作业中要准确确定吊物吊点位置，还需先确定吊物的（ ）。,"重心"
ZDZZ_W,在吊装中，为了保持设备或构件的平衡，可分别采取使用等长和不等长的吊索，以及增加（ ）等方法进行吊装。,"吊点"
ZHRZT_,指挥人姿态：单手持红、绿旗上举，旗语目的为（ ）。,"预备"
ZHRZT_,指挥人姿态：红旗上举，绿旗自然放下，旗语目的为（ ）。,"升臂"
ZHRZT_,指挥人姿态：两旗分别拢起，横在两侧，旗头外指，旗语目的为（ ）。,"伸臂"
ZHRZT_,指挥人姿态：两旗分别拢起，向前伸出，旗头由前方向下摆动，旗语目的为（ ）。,"起重机后退"
ZHRZT_,指挥人姿态：绿旗上举，红旗自然放下，旗语目的为（ ）。,"吊钩上升"
ZJCJGX,中间插接共需穿插（ ）次。,"18"
ZJSJZY,转就是借助于外力，是重物沿一（ ）就地转动一个角度到达所需的方位。,"轴心"
ZPHTYF,在平行投影法中，当投影线与投影面倾斜时所得到的投影称为（ ）。,"斜投影"
ZRCSHZ,在日常生活中，物体在光线照射下会在地面或墙上产生影子，这个影子在某些方面反映出物体的形状特征，这就是通常所说的（ ）。,"投影现象"
ZZYSYY,转主要适用于一些容器设备的（ ）安装。,"整体"
